epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.6825,1.56972,1.96431,1.30896,0.44554,0.52257,0.5427,0.30865,1.47851,1.48375,1.13315,0.000331429,0.000331429,0.0671886
2,184.979,1.49772,1.56437,1.28602,0.73447,0.58264,0.55549,0.3164,1.51044,1.28513,1.2016,0.000664106,0.000664106,0.0341879
3,278.605,1.44603,1.45707,1.27074,0.83693,0.67606,0.67154,0.39905,1.4196,1.50135,1.14577,0.00099416,0.00099416,0.00118464
4,373.662,1.4778,1.45684,1.28782,0.81065,0.65657,0.6434,0.39766,1.42962,1.49436,1.15574,0.000991145,0.000991145,0.000991145
5,453.871,1.40345,1.40055,1.24572,0.86566,0.66622,0.68497,0.43963,1.49626,1.2696,1.16074,0.000984293,0.000984293,0.000984293
6,498.157,1.40645,1.39201,1.23782,0.76202,0.71018,0.72585,0.47433,1.38583,1.07657,1.12158,0.000975531,0.000975531,0.000975531
7,542.706,1.40003,1.34676,1.23512,0.90196,0.67884,0.72427,0.44323,1.51898,1.06754,1.19769,0.000964892,0.000964892,0.000964892
8,587.62,1.3605,1.30475,1.22281,0.79395,0.72308,0.70996,0.42586,1.54802,1.05511,1.17485,0.000952418,0.000952418,0.000952418
9,632.713,1.35247,1.30962,1.21084,0.78606,0.68634,0.70748,0.41174,1.40476,1.0667,1.1304,0.00093816,0.00093816,0.00093816
10,677.167,1.32548,1.27489,1.20532,0.80345,0.73394,0.72086,0.46528,1.25483,0.98202,1.09163,0.000922172,0.000922172,0.000922172
11,724.279,1.34333,1.23874,1.20268,0.80238,0.72702,0.72701,0.47762,1.37467,0.96427,1.09827,0.000904518,0.000904518,0.000904518
12,769.619,1.29891,1.22122,1.1811,0.73202,0.74571,0.71295,0.43608,1.54889,1.07009,1.17126,0.000885268,0.000885268,0.000885268
13,813.772,1.30337,1.21754,1.18169,0.82268,0.74253,0.73635,0.49818,1.52663,0.92069,1.1634,0.000864498,0.000864498,0.000864498
14,858.898,1.28676,1.14684,1.16469,0.70132,0.75719,0.73763,0.43613,1.36502,0.97377,1.09045,0.000842289,0.000842289,0.000842289
15,904.218,1.28009,1.15431,1.16359,0.7619,0.74188,0.71936,0.45793,1.37008,0.90597,1.09017,0.00081873,0.00081873,0.00081873
16,948.52,1.27079,1.15839,1.1626,0.7667,0.73502,0.74575,0.44487,1.43787,0.91968,1.11021,0.000793913,0.000793913,0.000793913
17,993.948,1.25764,1.12474,1.15145,0.73028,0.74668,0.72254,0.47178,1.32986,0.87316,1.08412,0.000767937,0.000767937,0.000767937
18,1040.48,1.24218,1.10926,1.14675,0.80367,0.77283,0.76639,0.51943,1.18041,0.80623,1.03149,0.000740903,0.000740903,0.000740903
19,1086.29,1.23711,1.09394,1.1405,0.76512,0.71987,0.73589,0.44644,1.22895,0.80594,1.04018,0.000712918,0.000712918,0.000712918
20,1131.41,1.22415,1.10119,1.14189,0.77834,0.76361,0.73735,0.48484,1.12227,0.84655,1.02183,0.000684094,0.000684094,0.000684094
21,1177.13,1.20315,1.05141,1.12128,0.79934,0.77095,0.75779,0.5485,0.99453,0.79295,0.997,0.000654543,0.000654543,0.000654543
22,1222.74,1.20925,1.05991,1.12864,0.7412,0.73671,0.7123,0.50287,1.11546,0.77644,1.02745,0.000624383,0.000624383,0.000624383
