epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,1267.89,1.17807,1.01637,1.1143,0.82315,0.76029,0.75413,0.5297,1.07174,0.77203,1.01602,0.000593731,0.000593731,0.000593731
24,1313.65,1.13599,0.99656,1.10367,0.7803,0.74285,0.74524,0.56404,0.91872,0.71468,0.96951,0.00056271,0.00056271,0.00056271
25,1359.45,1.15927,1.04302,1.10985,0.79559,0.74195,0.74689,0.57161,0.90315,0.72313,0.97327,0.000531442,0.000531442,0.000531442
26,1404.16,1.1478,0.99798,1.1131,0.81079,0.73302,0.73267,0.59902,0.87179,0.70112,0.95909,0.00050005,0.00050005,0.00050005
27,1449.34,1.11677,0.99607,1.08803,0.74139,0.81118,0.75416,0.56769,1.05363,0.74596,1.00291,0.000468658,0.000468658,0.000468658
28,1494.46,1.11584,1.01224,1.09845,0.79127,0.72985,0.76686,0.58949,0.88769,0.74043,0.96512,0.00043739,0.00043739,0.00043739
29,1539.19,1.09104,0.95035,1.0736,0.75213,0.79232,0.74777,0.59344,0.87399,0.72172,0.96287,0.000406369,0.000406369,0.000406369
30,1584.23,1.06879,0.93986,1.07227,0.79583,0.79928,0.76904,0.53647,0.95487,0.71334,0.9647,0.000375717,0.000375717,0.000375717
31,1629.12,1.09279,0.99027,1.09166,0.83263,0.78987,0.77616,0.60279,0.89979,0.69803,0.95023,0.000345557,0.000345557,0.000345557
32,1674.13,1.0631,0.9424,1.0657,0.83573,0.79139,0.77407,0.61586,0.83717,0.65261,0.93871,0.000316006,0.000316006,0.000316006
33,1719.48,1.04001,0.92263,1.06219,0.83817,0.78045,0.76963,0.60628,0.88237,0.66548,0.94277,0.000287182,0.000287182,0.000287182
34,1764.9,1.03534,0.90888,1.04898,0.87174,0.77632,0.77391,0.62288,0.80985,0.6648,0.93385,0.000259197,0.000259197,0.000259197
35,1810.75,1.04035,0.91307,1.05923,0.85373,0.77464,0.77908,0.62892,0.78847,0.65398,0.9248,0.000232163,0.000232163,0.000232163
36,1855.69,1.01931,0.89245,1.04319,0.8734,0.77918,0.78624,0.59467,0.87987,0.66419,0.94379,0.000206187,0.000206187,0.000206187
37,1900.26,0.98341,0.86242,1.03461,0.85983,0.77561,0.79127,0.62861,0.77991,0.62846,0.91929,0.00018137,0.00018137,0.00018137
38,1945.01,1.01372,0.89176,1.0509,0.83205,0.79734,0.77945,0.64001,0.77373,0.63263,0.91719,0.000157811,0.000157811,0.000157811
39,1989.9,0.99305,0.86416,1.03985,0.8222,0.79347,0.77903,0.63859,0.75268,0.6213,0.91695,0.000135602,0.000135602,0.000135602
40,2034.25,0.99107,0.88533,1.04443,0.81429,0.8118,0.78551,0.62857,0.77203,0.62245,0.9189,0.000114832,0.000114832,0.000114832
41,2071.87,0.90909,0.75855,1.00513,0.7926,0.79347,0.77897,0.61608,0.84692,0.65901,0.92926,9.5582e-05,9.5582e-05,9.5582e-05
42,2108.75,0.903,0.74987,0.99616,0.84919,0.78417,0.77919,0.62599,0.78869,0.62815,0.92151,7.79283e-05,7.79283e-05,7.79283e-05
43,2145.76,0.87019,0.72182,0.98668,0.82594,0.78848,0.76793,0.63508,0.74808,0.63272,0.91757,6.19405e-05,6.19405e-05,6.19405e-05
44,2183.04,0.87309,0.71193,0.9869,0.82781,0.78751,0.76788,0.634,0.74238,0.62392,0.91444,4.76817e-05,4.76817e-05,4.76817e-05
45,2220.2,0.85669,0.71744,0.98439,0.81351,0.77159,0.76773,0.6351,0.74393,0.62017,0.91434,3.52082e-05,3.52082e-05,3.52082e-05
46,2257.1,0.87184,0.72186,0.98782,0.78764,0.7988,0.76698,0.63338,0.73477,0.61633,0.91356,2.45693e-05,2.45693e-05,2.45693e-05
47,2294.73,0.84903,0.70065,0.97886,0.815,0.79042,0.7756,0.63643,0.74436,0.61049,0.91321,1.58068e-05,1.58068e-05,1.58068e-05
48,2331.85,0.85029,0.70688,0.97902,0.81859,0.79861,0.77421,0.637,0.73254,0.60337,0.90816,8.95549e-06,8.95549e-06,8.95549e-06
49,2368.64,0.84597,0.71128,0.978,0.81295,0.79637,0.77407,0.63842,0.73905,0.60569,0.91282,4.04226e-06,4.04226e-06,4.04226e-06
50,2405.85,0.84166,0.69821,0.97384,0.8209,0.79939,0.77436,0.6401,0.72775,0.6028,0.90753,1.08654e-06,1.08654e-06,1.08654e-06
