epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.8915,1.56821,2.1497,1.41233,0.39301,0.66513,0.52307,0.32288,1.39988,1.77791,1.24696,0.000331439,0.000331439,0.0671875
2,176.442,1.47924,1.55482,1.37435,0.87812,0.61619,0.65392,0.44485,1.43899,1.66888,1.26252,0.000664609,0.000664609,0.0341873
3,263.31,1.47351,1.49752,1.37346,0.67037,0.71163,0.68966,0.40003,1.64147,1.76384,1.36547,0.000997121,0.000997121,0.00118652
4,353.488,1.45943,1.49997,1.39392,0.88609,0.64896,0.66844,0.40326,1.53176,2.00238,1.34785,0.000997781,0.000997781,0.000997781
5,440.289,1.42343,1.54142,1.35857,0.85312,0.66588,0.67251,0.36948,1.61617,2.15826,1.32778,0.000996058,0.000996058,0.000996058
6,526.954,1.38447,1.39719,1.33997,0.93304,0.69048,0.72343,0.46921,1.40421,1.01701,1.21297,0.000993845,0.000993845,0.000993845
7,614.468,1.37867,1.35038,1.31446,0.82084,0.65633,0.67839,0.41855,1.59557,1.20395,1.3436,0.000991145,0.000991145,0.000991145
8,700.632,1.37984,1.32699,1.31322,0.71001,0.71747,0.69621,0.48271,1.34129,1.04436,1.20982,0.00098796,0.00098796,0.00098796
9,786.721,1.39378,1.34964,1.31693,0.90986,0.68951,0.70631,0.46631,1.38949,1.1248,1.22037,0.000984293,0.000984293,0.000984293
10,872.406,1.33531,1.30805,1.29259,0.79853,0.74986,0.74209,0.41246,1.65671,1.13274,1.357,0.000980149,0.000980149,0.000980149
11,959.748,1.35366,1.28538,1.29553,0.73797,0.76631,0.72603,0.48655,1.27032,0.98403,1.18245,0.000975531,0.000975531,0.000975531
12,1046.58,1.31946,1.27852,1.28806,0.80059,0.72425,0.7229,0.47051,1.30075,1.00254,1.16701,0.000970443,0.000970443,0.000970443
13,1132.5,1.31162,1.26141,1.29228,0.78797,0.73396,0.7291,0.5015,1.11512,0.89333,1.1091,0.000964892,0.000964892,0.000964892
14,1219.15,1.29472,1.20994,1.26325,0.68861,0.73602,0.70427,0.46632,1.34218,0.93076,1.17161,0.000958881,0.000958881,0.000958881
15,1305.83,1.28797,1.19979,1.25282,0.68118,0.76098,0.73546,0.53446,1.09754,0.86194,1.08877,0.000952418,0.000952418,0.000952418
16,1392.43,1.27728,1.19671,1.254,0.70609,0.79236,0.72266,0.46187,1.2816,0.91687,1.14502,0.000945509,0.000945509,0.000945509
17,1479.32,1.25756,1.17301,1.24556,0.69486,0.76758,0.72385,0.52624,1.23024,0.85792,1.13281,0.00093816,0.00093816,0.00093816
18,1566.33,1.21591,1.12436,1.22274,0.76098,0.71996,0.72144,0.56589,1.00148,0.79351,1.07506,0.000930378,0.000930378,0.000930378
19,1654.02,1.20724,1.15573,1.23403,0.77997,0.76926,0.75109,0.58209,0.99787,0.81322,1.08865,0.000922172,0.000922172,0.000922172
20,1740,1.19059,1.12662,1.21311,0.77007,0.75664,0.74389,0.52777,1.11633,0.80878,1.09068,0.000913549,0.000913549,0.000913549
21,1826.31,1.19126,1.13342,1.21317,0.80053,0.77338,0.76338,0.57864,1.01346,0.77234,1.0663,0.000904518,0.000904518,0.000904518
22,1913.89,1.16832,1.10036,1.20265,0.79486,0.7727,0.7569,0.56236,1.04329,0.79302,1.07721,0.000895088,0.000895088,0.000895088
23,2000.66,1.16032,1.06699,1.18907,0.75903,0.79831,0.76214,0.56298,1.00643,0.76825,1.069,0.000885268,0.000885268,0.000885268
24,2087.09,1.14961,1.0735,1.18038,0.80791,0.80215,0.79012,0.61624,0.92343,0.73772,1.03727,0.000875068,0.000875068,0.000875068
25,2173.98,1.16477,1.07181,1.19214,0.76489,0.78376,0.7555,0.55815,1.0919,0.76675,1.07776,0.000864498,0.000864498,0.000864498
26,2261.14,1.14291,1.07466,1.19428,0.74891,0.81423,0.77004,0.56327,0.99722,0.74057,1.03798,0.000853568,0.000853568,0.000853568
27,2349.79,1.12231,1.04072,1.18393,0.73227,0.78675,0.74334,0.58578,0.88298,0.74063,1.02394,0.000842289,0.000842289,0.000842289
28,2436.8,1.13962,1.03701,1.19192,0.81429,0.79734,0.78159,0.56066,0.98309,0.75763,1.05171,0.000830673,0.000830673,0.000830673
29,2523.45,1.1249,1.01763,1.16162,0.75102,0.8152,0.78769,0.59537,0.93254,0.72549,1.03976,0.00081873,0.00081873,0.00081873
30,2610.35,1.0963,1.00513,1.16047,0.77893,0.80939,0.77216,0.57864,1.04749,0.74005,1.0661,0.000806473,0.000806473,0.000806473
31,2697.23,1.11608,1.01299,1.17825,0.75742,0.79151,0.74981,0.60819,0.84436,0.69528,1.0153,0.000793913,0.000793913,0.000793913
32,2782.99,1.11103,1.01092,1.15712,0.77009,0.7925,0.74844,0.58034,1.03486,0.75435,1.07058,0.000781064,0.000781064,0.000781064
33,2869.78,1.10933,1.00257,1.16255,0.82194,0.76697,0.75902,0.59933,0.879,0.71023,1.01655,0.000767937,0.000767937,0.000767937
34,2956.42,1.06626,0.97009,1.1401,0.81964,0.8009,0.7741,0.61564,0.84073,0.7138,1.00486,0.000754545,0.000754545,0.000754545
35,3043.53,1.0817,1.00667,1.15463,0.77906,0.79831,0.75653,0.57344,0.9771,0.7166,1.04598,0.000740903,0.000740903,0.000740903
36,3129.84,1.0724,0.97657,1.14352,0.73804,0.8112,0.76492,0.58623,0.96961,0.70788,1.03826,0.000727023,0.000727023,0.000727023
37,3216.6,1.06454,0.95806,1.13436,0.80769,0.79618,0.77152,0.6086,0.88999,0.68306,1.01707,0.000712918,0.000712918,0.000712918
38,3302.93,1.02229,0.9231,1.11201,0.84269,0.79187,0.78354,0.60623,0.90313,0.68472,1.02058,0.000698604,0.000698604,0.000698604
39,3389.52,1.04879,0.96296,1.13396,0.74095,0.79637,0.75282,0.57916,0.90593,0.6686,1.01721,0.000684094,0.000684094,0.000684094
40,3475.56,1.0488,0.94016,1.13752,0.78741,0.8044,0.76952,0.6293,0.77369,0.65734,0.99749,0.000669402,0.000669402,0.000669402
41,3562.4,1.04115,0.92887,1.12188,0.7733,0.7452,0.73026,0.58125,0.9384,0.70442,1.03489,0.000654543,0.000654543,0.000654543
42,3649.16,1.03687,0.92031,1.11681,0.74621,0.80855,0.75399,0.62795,0.81051,0.69926,1.0012,0.000639532,0.000639532,0.000639532
43,3736.09,1.0351,0.95921,1.13067,0.78295,0.80731,0.76622,0.63962,0.83615,0.68266,1.00381,0.000624383,0.000624383,0.000624383
44,3822.82,1.0146,0.91671,1.11405,0.84332,0.78187,0.77726,0.62394,0.85546,0.68059,1.00393,0.000609111,0.000609111,0.000609111
45,3910.17,1.00508,0.91613,1.11359,0.81277,0.79135,0.77009,0.60752,0.82147,0.66612,0.98278,0.000593731,0.000593731,0.000593731
46,3996.83,1.01091,0.91422,1.10726,0.75959,0.8152,0.76558,0.62558,0.80683,0.67271,0.99479,0.000578259,0.000578259,0.000578259
47,4083.51,1.00443,0.92722,1.11318,0.79749,0.82904,0.79935,0.6281,0.84315,0.63206,0.99449,0.00056271,0.00056271,0.00056271
48,4169.74,1.01122,0.91173,1.11185,0.82297,0.7987,0.80263,0.6284,0.83937,0.65858,1.00456,0.000547099,0.000547099,0.000547099
49,4256.03,1.00872,0.92111,1.1238,0.78927,0.79098,0.77331,0.61813,0.89138,0.67623,1.00596,0.000531442,0.000531442,0.000531442
50,4341.6,1.0001,0.90752,1.11854,0.85904,0.82918,0.81693,0.639,0.81423,0.64421,0.99093,0.000515754,0.000515754,0.000515754
51,4428.44,0.98347,0.89734,1.09938,0.77039,0.84496,0.78573,0.6167,0.79614,0.65675,0.97839,0.00050005,0.00050005,0.00050005
52,4514.58,0.98959,0.90586,1.1078,0.79756,0.81423,0.77481,0.62723,0.78109,0.63968,0.98736,0.000484346,0.000484346,0.000484346
