epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,4600.59,0.97172,0.88001,1.092,0.78953,0.82079,0.79206,0.64516,0.76254,0.6173,0.97193,0.000468658,0.000468658,0.000468658
54,4688.02,0.97812,0.88995,1.10105,0.82541,0.82018,0.80966,0.64673,0.77113,0.60371,0.9738,0.000453001,0.000453001,0.000453001
55,4776.15,0.98736,0.87633,1.09543,0.79404,0.83306,0.79144,0.60612,0.85664,0.61852,0.99004,0.00043739,0.00043739,0.00043739
56,4862.99,0.95382,0.86036,1.08732,0.84322,0.82913,0.80893,0.65679,0.74549,0.61941,0.96822,0.000421841,0.000421841,0.000421841
57,4948.45,0.94617,0.85021,1.08882,0.85272,0.82436,0.82318,0.65041,0.76899,0.61763,0.97312,0.000406369,0.000406369,0.000406369
58,5034.86,0.95284,0.88645,1.0986,0.83066,0.8242,0.82098,0.63118,0.79608,0.62142,0.9794,0.000390989,0.000390989,0.000390989
59,5122.8,0.94889,0.8421,1.08124,0.83215,0.81326,0.82234,0.64427,0.77149,0.6266,0.9715,0.000375717,0.000375717,0.000375717
60,5208.46,0.931,0.84868,1.07866,0.83774,0.83015,0.80506,0.64915,0.71921,0.60416,0.96072,0.000360568,0.000360568,0.000360568
61,5294.85,0.92507,0.83073,1.06899,0.82146,0.83804,0.80558,0.63121,0.74081,0.59776,0.96654,0.000345557,0.000345557,0.000345557
62,5383.45,0.9391,0.84979,1.08747,0.82968,0.83707,0.81921,0.64351,0.78556,0.60445,0.97121,0.000330698,0.000330698,0.000330698
63,5469.84,0.9357,0.84355,1.07794,0.82461,0.83656,0.80857,0.63788,0.80162,0.61185,0.96445,0.000316006,0.000316006,0.000316006
64,5556.72,0.92264,0.83998,1.07328,0.89819,0.79216,0.8081,0.64559,0.71726,0.601,0.94597,0.000301496,0.000301496,0.000301496
65,5643.32,0.90648,0.82493,1.06267,0.80643,0.83499,0.8079,0.646,0.73558,0.57654,0.95328,0.000287182,0.000287182,0.000287182
66,5729.14,0.91371,0.83351,1.07778,0.82649,0.83235,0.80817,0.6358,0.75264,0.58117,0.96301,0.000273077,0.000273077,0.000273077
67,5815.67,0.89925,0.81432,1.06221,0.82376,0.83112,0.81396,0.62931,0.7487,0.58442,0.95394,0.000259197,0.000259197,0.000259197
68,5901.67,0.9013,0.81503,1.06631,0.80851,0.8155,0.77976,0.61926,0.74178,0.62223,0.95496,0.000245555,0.000245555,0.000245555
69,5988.98,0.91033,0.82059,1.06734,0.83523,0.84109,0.81209,0.64225,0.70599,0.5798,0.94731,0.000232163,0.000232163,0.000232163
70,6076.83,0.89903,0.81749,1.07287,0.77682,0.84421,0.79328,0.64834,0.7267,0.59369,0.95529,0.000219036,0.000219036,0.000219036
71,6162.68,0.87831,0.78872,1.05726,0.80974,0.82612,0.79498,0.63429,0.77228,0.58868,0.95747,0.000206187,0.000206187,0.000206187
72,6249.47,0.88417,0.795,1.05899,0.81449,0.8242,0.79039,0.63195,0.7096,0.61195,0.94983,0.000193627,0.000193627,0.000193627
73,6336.95,0.87893,0.79825,1.05277,0.81298,0.83112,0.80227,0.65723,0.69853,0.58439,0.95228,0.00018137,0.00018137,0.00018137
74,6423.18,0.87325,0.7791,1.04312,0.82978,0.8242,0.80201,0.64506,0.68679,0.56604,0.94625,0.000169427,0.000169427,0.000169427
75,6510.7,0.8669,0.77613,1.04664,0.8104,0.82728,0.78362,0.64842,0.70281,0.5692,0.94869,0.000157811,0.000157811,0.000157811
76,6596.89,0.87426,0.76681,1.04427,0.84083,0.81103,0.79634,0.63757,0.75124,0.59254,0.9519,0.000146532,0.000146532,0.000146532
77,6683.89,0.86598,0.7603,1.04209,0.83747,0.81201,0.80429,0.64331,0.72632,0.57863,0.95014,0.000135602,0.000135602,0.000135602
78,6770.11,0.85703,0.77112,1.04689,0.83893,0.81952,0.80482,0.64486,0.72704,0.58999,0.94859,0.000125032,0.000125032,0.000125032
79,6856.78,0.8601,0.77668,1.03884,0.83713,0.81229,0.80451,0.64929,0.71827,0.56932,0.94546,0.000114832,0.000114832,0.000114832
80,6943.32,0.86128,0.79388,1.0588,0.79058,0.85091,0.79772,0.65735,0.69354,0.57018,0.94324,0.000105012,0.000105012,0.000105012
81,7030.37,0.85999,0.77196,1.04754,0.84987,0.80607,0.80999,0.64472,0.73164,0.57659,0.95233,9.5582e-05,9.5582e-05,9.5582e-05
82,7116.75,0.86997,0.79467,1.0541,0.86428,0.80995,0.8092,0.65168,0.68289,0.56702,0.94551,8.65511e-05,8.65511e-05,8.65511e-05
83,7203.18,0.86856,0.77399,1.04815,0.83351,0.80206,0.79653,0.64761,0.69636,0.56451,0.94732,7.79283e-05,7.79283e-05,7.79283e-05
84,7290.71,0.84887,0.75598,1.04326,0.82511,0.81132,0.79466,0.63789,0.68664,0.55916,0.94565,6.9722e-05,6.9722e-05,6.9722e-05
85,7377.18,0.85197,0.76256,1.04543,0.83604,0.80811,0.79036,0.64007,0.70684,0.55771,0.94749,6.19405e-05,6.19405e-05,6.19405e-05
86,7462.5,0.84022,0.75989,1.03695,0.83135,0.79347,0.79128,0.64259,0.72498,0.56502,0.95212,5.45913e-05,5.45913e-05,5.45913e-05
87,7549.98,0.83454,0.75594,1.03246,0.84199,0.80011,0.80123,0.65454,0.69403,0.5557,0.94587,4.76817e-05,4.76817e-05,4.76817e-05
88,7635.89,0.8452,0.77738,1.04853,0.84655,0.81132,0.80248,0.65223,0.69937,0.5535,0.94391,4.12186e-05,4.12186e-05,4.12186e-05
89,7723.04,0.84424,0.75541,1.04145,0.82861,0.81823,0.80431,0.65041,0.69977,0.55503,0.94251,3.52082e-05,3.52082e-05,3.52082e-05
90,7810.82,0.84307,0.76573,1.03381,0.84626,0.81814,0.80895,0.6535,0.70536,0.55816,0.94493,2.96567e-05,2.96567e-05,2.96567e-05
91,7881.86,0.78137,0.66709,1.00717,0.8265,0.81205,0.80797,0.65206,0.68832,0.56906,0.94406,2.45693e-05,2.45693e-05,2.45693e-05
92,7953.13,0.7624,0.66311,1.00483,0.82767,0.81728,0.80968,0.64766,0.69839,0.57318,0.95031,1.99512e-05,1.99512e-05,1.99512e-05
93,8024.44,0.76063,0.65801,1.01803,0.83126,0.82134,0.81204,0.64774,0.71035,0.57519,0.95374,1.58068e-05,1.58068e-05,1.58068e-05
94,8095.54,0.74852,0.64906,1.00188,0.82529,0.82323,0.81355,0.64953,0.69513,0.57042,0.94849,1.21404e-05,1.21404e-05,1.21404e-05
95,8166.79,0.76964,0.64821,1.0046,0.82373,0.82323,0.81395,0.64906,0.69783,0.57094,0.94807,8.95549e-06,8.95549e-06,8.95549e-06
96,8239.05,0.73779,0.63285,0.98715,0.82333,0.82323,0.81512,0.64969,0.69823,0.5671,0.94742,6.25521e-06,6.25521e-06,6.25521e-06
97,8318.51,0.75465,0.62923,1.00175,0.83538,0.82323,0.81126,0.65061,0.69239,0.56581,0.94834,4.04226e-06,4.04226e-06,4.04226e-06
98,8390.55,0.75197,0.62611,0.99106,0.82623,0.8295,0.81768,0.64948,0.69262,0.5656,0.94678,2.3188e-06,2.3188e-06,2.3188e-06
99,8463.11,0.73348,0.61759,0.97399,0.82848,0.82323,0.81878,0.64951,0.6915,0.56341,0.94511,1.08654e-06,1.08654e-06,1.08654e-06
100,8534.77,0.74593,0.62432,0.99066,0.833,0.81728,0.81409,0.65062,0.69109,0.56383,0.94615,3.46695e-07,3.46695e-07,3.46695e-07
