epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.2229,1.55091,1.99059,1.32412,0.63864,0.64461,0.64524,0.39056,1.42096,6.32262,1.07923,0.000331395,0.000331395,0.0671919
2,88.4139,1.4995,1.5583,1.28919,0.68987,0.68062,0.67278,0.45696,1.31977,3.50889,1.0703,0.000660637,0.000660637,0.0341878
3,130.073,1.45361,1.46869,1.2973,0.57663,0.73265,0.67971,0.46514,1.22114,3.97855,1.03501,0.00097364,0.00097364,0.00116744
4,171.594,1.4636,1.48551,1.29957,0.82111,0.71407,0.71922,0.43362,1.2762,3.05205,1.02387,0.000945509,0.000945509,0.000945509
5,213.368,1.42474,1.41788,1.26925,0.75694,0.70944,0.70623,0.42591,1.45754,1.83448,1.10025,0.000904518,0.000904518,0.000904518
6,257.392,1.38517,1.31638,1.2517,0.91844,0.67931,0.7257,0.44073,1.28331,2.86397,1.04312,0.000853568,0.000853568,0.000853568
7,300.443,1.36705,1.28653,1.23701,0.80991,0.71438,0.70788,0.45992,1.2776,1.3025,1.02591,0.000793913,0.000793913,0.000793913
8,360.965,1.3485,1.24125,1.2303,0.76876,0.74223,0.73473,0.45888,1.32518,1.49144,1.03644,0.000727023,0.000727023,0.000727023
9,447.311,1.31121,1.21509,1.19999,0.8063,0.72204,0.72606,0.48063,1.15528,1.00664,0.96827,0.000654543,0.000654543,0.000654543
10,535.025,1.29666,1.1738,1.18871,0.77164,0.76855,0.73488,0.45568,1.18025,1.21865,0.96297,0.000578259,0.000578259,0.000578259
11,610.593,1.20276,1.08692,1.13733,0.78449,0.77049,0.74531,0.50026,1.15979,1.28718,0.97424,0.00050005,0.00050005,0.00050005
12,685.795,1.14904,0.95834,1.11326,0.82231,0.72993,0.72624,0.47068,1.19228,1.14913,0.97355,0.000421841,0.000421841,0.000421841
13,760.594,1.14156,0.9474,1.10946,0.91543,0.70425,0.76513,0.49171,1.09281,1.0305,0.93895,0.000345557,0.000345557,0.000345557
14,835.937,1.10026,0.89408,1.09422,0.74604,0.75369,0.72406,0.52024,1.00882,0.9443,0.91781,0.000273077,0.000273077,0.000273077
15,911.212,1.07079,0.87155,1.08225,0.76648,0.77351,0.73307,0.51987,0.8982,0.83991,0.89095,0.000206187,0.000206187,0.000206187
16,985.457,1.03369,0.85047,1.06815,0.86355,0.75263,0.74696,0.5241,0.86956,0.75987,0.87531,0.000146532,0.000146532,0.000146532
17,1060.64,1.03209,0.83007,1.06875,0.75269,0.77644,0.74003,0.52738,0.90621,0.74128,0.87246,9.5582e-05,9.5582e-05,9.5582e-05
18,1136.6,0.98692,0.81365,1.04784,0.76542,0.77222,0.72986,0.54641,0.8439,0.70075,0.86234,5.45913e-05,5.45913e-05,5.45913e-05
19,1212.46,0.9847,0.84699,1.04431,0.82662,0.74714,0.73037,0.55586,0.81169,0.7015,0.85443,2.45693e-05,2.45693e-05,2.45693e-05
20,1287.45,0.98729,0.79132,1.03964,0.84532,0.74086,0.7303,0.55983,0.80963,0.6973,0.85451,6.25521e-06,6.25521e-06,6.25521e-06
