epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.5542,1.54225,1.95836,1.31604,0.86201,0.6375,0.68934,0.39617,1.39988,5.5546,1.10486,0.000331395,0.000331395,0.0671919
2,85.238,1.48744,1.53246,1.3025,0.81706,0.72879,0.74004,0.40766,1.2406,5.01665,1.02121,0.000660637,0.000660637,0.0341878
3,127,1.45316,1.45943,1.26936,0.88402,0.65725,0.72219,0.48326,1.23037,13.3731,1.0274,0.00097364,0.00097364,0.00116744
4,168.383,1.44347,1.42885,1.28785,0.90115,0.67497,0.72039,0.4776,1.24002,2.94915,1.04933,0.000945509,0.000945509,0.000945509
5,209.249,1.40454,1.37192,1.26928,0.90796,0.7033,0.72649,0.48962,1.0638,1.5059,0.96726,0.000904518,0.000904518,0.000904518
6,251.364,1.3869,1.28709,1.23501,0.81288,0.72295,0.74171,0.48115,1.22952,3.25483,1.0184,0.000853568,0.000853568,0.000853568
7,293.978,1.37216,1.31674,1.25321,0.84414,0.71775,0.737,0.48419,1.2597,3.37303,1.01772,0.000793913,0.000793913,0.000793913
8,335.415,1.32368,1.21941,1.20429,0.86694,0.717,0.7409,0.4564,1.22674,1.91179,1.00548,0.000727023,0.000727023,0.000727023
9,377.872,1.32386,1.21473,1.20288,0.89228,0.74391,0.75101,0.5129,1.20339,1.28639,0.98356,0.000654543,0.000654543,0.000654543
10,419.478,1.28954,1.17288,1.17834,0.84238,0.76287,0.75321,0.46266,1.25138,1.81684,0.97991,0.000578259,0.000578259,0.000578259
11,453.806,1.16259,1.00687,1.12439,0.78886,0.76164,0.74674,0.49871,1.10238,1.0862,0.95501,0.00050005,0.00050005,0.00050005
12,488.804,1.15126,0.98659,1.12813,0.84788,0.68978,0.73317,0.47432,1.21182,1.24533,0.97004,0.000421841,0.000421841,0.000421841
13,523.495,1.12148,0.93371,1.09686,0.7274,0.76231,0.72503,0.47587,1.19048,0.91721,0.95615,0.000345557,0.000345557,0.000345557
14,560.304,1.10695,0.91518,1.09199,0.83422,0.75561,0.74643,0.53278,1.00585,0.87504,0.90677,0.000273077,0.000273077,0.000273077
15,595.471,1.08976,0.882,1.08441,0.79331,0.74197,0.74047,0.5124,0.96696,0.96343,0.90734,0.000206187,0.000206187,0.000206187
16,630.452,1.05771,0.85802,1.06907,0.79144,0.76869,0.76088,0.49791,1.11221,0.97877,0.92913,0.000146532,0.000146532,0.000146532
17,664.955,1.0452,0.83928,1.0673,0.77128,0.75146,0.7456,0.51225,0.96655,0.83549,0.89525,9.5582e-05,9.5582e-05,9.5582e-05
18,700.65,1.00289,0.8065,1.04225,0.76578,0.79056,0.75108,0.53689,0.87953,0.85978,0.8677,5.45913e-05,5.45913e-05,5.45913e-05
19,735.685,0.9987,0.80496,1.04064,0.79704,0.74986,0.74346,0.54265,0.88992,0.82308,0.86793,2.45693e-05,2.45693e-05,2.45693e-05
20,770.97,0.98553,0.79839,1.03327,0.79254,0.74986,0.74399,0.54226,0.87484,0.82106,0.86421,6.25521e-06,6.25521e-06,6.25521e-06
