epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.5417,1.47289,1.9571,1.26964,0.67035,0.56828,0.56062,0.3379,1.4931,1.59159,1.15653,0.000331429,0.000331429,0.0671886
2,105.889,1.42739,1.41793,1.24843,0.71212,0.56486,0.54993,0.39429,1.41104,1.73612,1.22622,0.000648496,0.000648496,0.0341723
3,186.881,1.43559,1.44577,1.27497,0.79632,0.62394,0.66854,0.41673,1.48702,1.34563,1.22001,0.000902795,0.000902795,0.00109327
4,267.893,1.3584,1.30456,1.23848,0.86477,0.7078,0.73556,0.42834,1.46689,1.13075,1.16261,0.000793913,0.000793913,0.000793913
5,348.316,1.29638,1.17863,1.19407,0.76957,0.71913,0.71113,0.41216,1.52498,1.04618,1.17675,0.000654543,0.000654543,0.000654543
6,429.53,1.27971,1.12136,1.18042,0.77124,0.70415,0.7053,0.41223,1.52924,1.00011,1.15464,0.00050005,0.00050005,0.00050005
7,509.908,1.24302,1.06888,1.14742,0.77568,0.76467,0.72481,0.44652,1.34589,0.8774,1.082,0.000345557,0.000345557,0.000345557
8,592.379,1.18355,1.00499,1.12048,0.74134,0.76066,0.72061,0.44838,1.42231,0.82848,1.08564,0.000206187,0.000206187,0.000206187
9,673.71,1.14695,0.93146,1.09418,0.77925,0.74377,0.72865,0.45216,1.39567,0.82674,1.07769,9.5582e-05,9.5582e-05,9.5582e-05
10,754.728,1.11661,0.90708,1.08215,0.75291,0.77253,0.72946,0.4631,1.34029,0.78681,1.05662,2.45693e-05,2.45693e-05,2.45693e-05
